Student ID,4(a),4(b),4(c)
1155173918,7,7,6
1155174993,7,1,1
1155176537,7,1,0
1155176966,7,7,6
1155191382,7,7,5
1155191410,7,7,6
1155191456,7,7,6
1155191526,7,7,6
1155192798,7,7,6
1155192980,7,7,6
1155193741,7,7,4
1155193995,7,7,4
1155194058,7,7,5
1155194479,7,0,0
1155194868,7,7,6
1155194870,4,4,0
1155199603,7,0,2
1155211015,7,7,6
1155211040,3,7,6
1155211055,7,7,6
1155211098,7,7,6
1155211199,7,7,0
1155211243,5,3,4
1155211546,7,7,6
1155211804,1,1,2
1155211871,7,7,0
1155212081,1,1,2
1155212502,7,5,6
1155212608,7,0,0
1155213117,6,2,1
1155213269,5,4,1
1155213485,0,7,0
1155213654,4,5,2
1155213655,7,7,2
1155213824,7,0,0
1155214212,7,7,4
1155214263,5,7,4
1155214314,7,7,3
1155214378,0,7,2
1155214428,7,0,0
1155214586,7,6,6
1155214619,5,2,6
1155214626,4,0,0
